ccg,year,People,Lives,Places
00Q,2018.0,97.2,94.4,99.7
00Q,2019.0,96.0,94.6,99.5
00R,2018.0,85.8,88.0,97.6
00R,2019.0,84.8,88.5,98.5
00T,2018.0,95.2,96.6,100.1
00T,2019.0,93.1,95.7,100.0
01E,2018.0,105.96666666666665,105.33333333333331,101.39999999999999
01E,2019.0,105.06666666666666,105.93333333333332,103.1
01G,2018.0,90.6,91.3,97.5
01G,2019.0,91.0,91.5,98.0
01J,2018.0,92.5,88.5,103.8
01J,2019.0,93.5,87.4,104.5
01K,2018.0,100.2442748091603,103.86870229007633,101.95038167938931
01K,2019.0,99.41221374045801,103.99923664122137,102.86106870229007
01V,2018.0,94.8,95.4,103.7
01V,2019.0,97.4,96.3,104.2
01W,2018.0,100.2,104.2,104.4
01W,2019.0,97.5,103.4,103.8
01Y,2018.0,97.8375,98.23875000000001,101.40750000000001
01Y,2019.0,95.80875,99.04375,101.81375000000001
02E,2018.0,101.1,101.3,101.6
02E,2019.0,98.7,103.0,102.1
02H,2018.0,94.3,98.3,102.7
02H,2019.0,92.7,97.4,102.9
02P,2018.0,95.7,99.0,100.4
02P,2019.0,94.6,98.4,101.4
02X,2018.0,92.9,95.2,96.9
02X,2019.0,90.2,95.1,97.5
03F,2018.0,89.4,89.1,92.5
03F,2019.0,88.6,91.9,94.8
03H,2018.0,96.8,96.7,96.4
03H,2019.0,96.5,98.1,97.1
03L,2018.0,92.6,96.9,100.6
03L,2019.0,94.7,95.8,100.1
03N,2018.0,95.7,99.4,99.6
03N,2019.0,94.2,99.0,99.2
03Q,2018.0,105.26842105263158,107.90736842105264,99.81052631578947
03Q,2019.0,103.3021052631579,108.3663157894737,100.18526315789475
03R,2018.0,95.8,97.2,98.1
03R,2019.0,92.1,97.2,98.3
04C,2018.0,95.7,92.2,95.6
04C,2019.0,92.6,91.6,96.7
05W,2018.0,99.05000000000001,98.94999999999999,102.15
05W,2019.0,97.85,99.5,102.1
06H,2018.0,103.25897435897436,104.54649572649572,99.11504273504273
06H,2019.0,100.99606837606838,104.34017094017094,99.6842735042735
06K,2018.0,106.40175438596492,105.60325814536343,98.35864661654136
06K,2019.0,105.69147869674185,106.85112781954888,98.96265664160401
06N,2018.0,107.58000000000001,106.4,99.22
06N,2019.0,107.46000000000001,105.88000000000001,100.16000000000001
06Q,2018.0,105.23333333333332,105.9,99.99999999999999
06Q,2019.0,103.5,105.93333333333334,100.39999999999999
06T,2018.0,95.25,101.0,97.3
06T,2019.0,94.9,101.15,97.55000000000001
07H,2018.0,108.46666666666667,105.43333333333334,97.93333333333332
07H,2019.0,106.63333333333333,105.53333333333333,98.89999999999999
07K,2018.0,107.83333333333333,108.16666666666666,99.13333333333333
07K,2019.0,108.63333333333333,108.3,100.13333333333333
09D,2018.0,94.1,105.6,97.7
09D,2019.0,94.2,105.3,97.8
10Q,2018.0,106.903772216177,108.54845846935073,99.75421351710796
10Q,2019.0,106.02097690726634,108.42119453512271,100.84423890702455
10R,2018.0,96.6,95.5,95.8
10R,2019.0,96.6,94.6,96.8
11M,2018.0,106.16666666666666,107.61666666666666,101.86666666666666
11M,2019.0,105.11666666666666,108.14999999999999,101.85
11N,2018.0,94.0,103.2,99.5
11N,2019.0,95.3,104.1,100.4
11X,2018.0,102.94999999999999,105.325,98.625
11X,2019.0,101.575,105.7,98.975
12F,2018.0,94.4,98.8,105.1
12F,2019.0,93.4,98.4,105.2
13T,2018.0,93.4,96.5,98.5
13T,2019.0,91.19999999999999,95.85,99.0
14L,2018.0,88.6,90.2,94.2
14L,2019.0,88.9,89.6,94.1
14Y,2018.0,104.63913263584205,108.73685453931826,101.53229834627066
14Y,2019.0,103.06294296321296,108.47453594330071,102.18074586567667
15A,2018.0,106.86666666666665,108.06666666666666,100.0
15A,2019.0,106.03333333333333,108.1,101.43333333333334
15C,2018.0,98.53333333333333,105.33333333333333,100.1
15C,2019.0,97.56666666666666,104.63333333333333,100.36666666666667
15E,2018.0,97.29519392917369,98.03524451939292,98.23962900505902
15E,2019.0,95.79561551433389,97.4964586846543,98.34738617200674
15F,2018.0,94.5,97.5,96.4
15F,2019.0,90.9,97.0,96.5
15M,2018.0,103.16196078431373,103.85098039215687,103.18039215686275
15M,2019.0,101.18960784313725,104.4535294117647,102.98941176470589
15N,2018.0,103.13000000000001,106.64000000000001,100.83000000000001
15N,2019.0,103.09,107.45,101.51
16C,2018.0,95.92,94.78000000000002,98.04
16C,2019.0,94.60000000000001,95.94000000000001,98.12
18C,2018.0,105.07142857142857,105.27142857142857,99.35714285714285
18C,2019.0,101.89999999999999,106.74285714285713,99.45714285714286
26A,2018.0,102.2625,103.5625,99.25
26A,2019.0,101.4125,103.7375,99.7375
27D,2018.0,101.55,105.2,101.35
27D,2019.0,98.6,104.75,101.75
36J,2018.0,102.93770491803278,102.44590163934427,98.8016393442623
36J,2019.0,101.47213114754098,102.00819672131146,98.89180327868851
36L,2018.0,105.75,104.35,100.25
36L,2019.0,104.56666666666665,104.1,100.85
42D,2018.0,106.15486725663715,107.0654867256637,99.79115044247786
42D,2019.0,105.76017699115043,107.78407079646017,100.83362831858406
52R,2018.0,100.65714285714286,102.94285714285712,100.27142857142857
52R,2019.0,100.52857142857142,103.79999999999998,100.67142857142856
70F,2018.0,105.82109533468561,106.63083164300204,100.56997971602435
70F,2019.0,103.14259634888438,107.45679513184585,100.82677484787018
71E,2018.0,102.54285714285714,101.39999999999999,97.84285714285714
71E,2019.0,100.72857142857143,101.68571428571428,97.99999999999999
72Q,2018.0,100.91666666666666,99.13333333333333,97.54999999999998
72Q,2019.0,101.43333333333332,98.81666666666666,97.66666666666666
91Q,2018.0,102.72307692307693,103.76923076923077,97.06923076923077
91Q,2019.0,100.70769230769231,102.38461538461539,97.90769230769232
92A,2018.0,110.53303839679444,109.7599010684924,102.17964867767796
92A,2019.0,108.97570112019672,109.93225205434959,103.58073192973228
92G,2018.0,100.86379310344827,106.70344827586206,100.51896551724138
92G,2019.0,100.1051724137931,106.0155172413793,101.07068965517242
93C,2018.0,103.36000000000001,97.9,96.54
93C,2019.0,101.74000000000001,97.54,96.82000000000001
97R,2018.0,101.32000000000001,103.10000000000001,99.80000000000001
97R,2019.0,99.58000000000001,103.82000000000001,100.42
99A,2018.0,87.8,91.4,98.6
99A,2019.0,86.5,90.0,98.9
99C,2018.0,95.5,100.3,102.3
99C,2019.0,93.6,102.1,102.3
99G,2018.0,100.3,99.6,98.9
99G,2019.0,100.3,99.5,99.1
A3A8R,2018.0,103.65714285714286,94.58571428571429,96.35714285714285
A3A8R,2019.0,103.84285714285714,94.58571428571427,96.41428571428571
B2M3M,2018.0,102.6,102.54999999999998,99.33333333333333
B2M3M,2019.0,102.28333333333333,102.88333333333333,99.89999999999999
D2P2L,2018.0,93.92375377643503,91.83070241691843,99.05098187311178
D2P2L,2019.0,94.37820996978851,91.25154833836856,99.31642749244712
D4U1Y,2018.0,106.10222621271211,106.15516169143247,101.24847171038415
D4U1Y,2019.0,106.045481874195,106.54416248849519,102.28079284893886
D9Y0V,2018.0,105.25195007800312,105.36333853354134,99.50951638065523
D9Y0V,2019.0,101.9411856474259,105.70920436817472,101.12464898595944
M1J4Y,2018.0,103.35296875000002,99.20414062500001,97.11375
M1J4Y,2019.0,101.62804687500001,99.15335937500001,97.987890625
M2L0M,2018.0,100.15,102.65,99.44999999999999
M2L0M,2019.0,98.85,102.1,99.35
W2U3Z,2018.0,105.575,97.1125,96.35
W2U3Z,2019.0,104.575,97.125,96.625
X2C4Y,2018.0,95.9,98.8,98.3
X2C4Y,2019.0,93.3,97.6,98.3
