icb_code,year,fx_asthma__qof_prevalence,fx_chd__qof_prevalence,fx_copd__qof_prevalence,fx_depression__qof_prevalence,fx_diabetes__qof_prevalence,fx_heart_failure__qof_prevalence,fx_hypertension__qof_prevalence,fx_obesity__qof_prevalence__new_definition,fx_deprivation_score__imd_2019
QE1,2022,7.53037,3.82391,2.44754,15.7774,7.56338,1.19225,15.65035,,25.9982715274201
QE1,2023,7.57723,3.76514,2.39512,16.69633,7.79712,1.24536,16.17516,,25.9982715274201
QE1,2024,7.54712,3.73178,2.38124,,8.03491,1.33547,16.67047,14.27966,25.9982715274201
QF7,2022,7.1696,3.4966,2.57163,13.78979,7.64801,1.15285,14.50419,,
QF7,2023,7.27597,3.43273,2.56336,14.3358,7.85247,1.19096,15.02677,,
QF7,2024,7.37643,3.39147,2.67186,,8.02643,1.25964,15.44882,14.57335,
QGH,2022,6.94108,3.38966,2.08906,14.227,7.55775,1.16889,16.41887,,18.2856093750816
QGH,2023,7.05052,3.35804,2.08084,14.97146,7.69572,1.20328,17.37258,,18.2856093750816
QGH,2024,7.12039,3.34732,2.1149,,7.85559,1.26998,18.04534,14.38044,18.2856093750816
QH8,2022,6.49577,2.89705,1.87396,11.42018,7.23043,0.91938,14.92709,,17.2580817813744
QH8,2023,6.57468,2.83876,1.84167,11.79877,7.40736,0.94562,15.20709,,17.2580817813744
QH8,2024,6.55094,2.79885,1.84199,,7.61059,1.03383,15.44751,10.781,17.2580817813744
QHG,2022,6.44586,2.56177,1.52369,10.91975,7.4377,0.76491,13.15884,,18.2023396106991
QHG,2023,6.42977,2.52888,1.4815,11.10568,7.91017,0.82664,13.45618,,18.2023396106991
QHG,2024,6.40504,2.50993,1.48423,,8.3018,0.84802,13.70397,11.31159,18.2023396106991
QHL,2022,6.40501,2.68653,1.49526,11.52795,8.86345,0.73428,12.29319,,
QHL,2023,6.42399,2.64035,1.44789,12.01682,9.01471,0.76369,12.63237,,
QHL,2024,6.36385,2.60232,1.45073,,9.15219,0.78945,12.79236,13.68613,
QHM,2022,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,
QHM,2023,7.31973,3.95777,2.78661,15.16172,8.278,1.34249,16.67214,,
QHM,2024,7.37993,3.90993,2.79892,,8.54366,1.42633,17.26088,16.54591,
QJ2,2022,7.257,3.5339,2.21128,14.32263,7.82613,1.21936,15.76353,,
QJ2,2023,7.39166,3.48189,2.18571,14.91689,8.00833,1.24521,16.28151,,
QJ2,2024,7.4647,3.45025,2.21714,,8.18769,1.35967,16.76474,13.84786,
QJG,2022,7.25415,3.47735,2.03622,12.87671,7.32745,1.22313,15.90569,,19.0156841976993
QJG,2023,7.38012,3.44401,2.01585,13.43992,7.48181,1.24505,16.40498,,19.0156841976993
QJG,2024,7.41418,3.42204,2.02748,,7.84097,1.33408,16.91363,13.2701,19.0156841976993
QJK,2022,7.52595,3.8452,2.27956,13.24415,7.31074,1.1091,15.80605,,20.1699124267529
QJK,2023,7.69717,3.86372,2.28608,13.81972,7.36315,1.19108,16.37456,,20.1699124267529
QJK,2024,7.72964,3.90095,2.3351,,7.45682,1.31766,16.96009,12.39503,20.1699124267529
QJM,2022,7.25953,4.00963,2.29462,13.8176,8.13357,1.45257,17.13691,,20.2904687308695
QJM,2023,7.33176,3.97076,2.34268,14.4577,8.3876,1.51556,17.64499,,20.2904687308695
QJM,2024,7.36016,3.96458,2.43827,,8.54411,1.72386,18.30378,14.96437,20.2904687308695
QK1,2022,6.26784,2.7498,1.60547,13.14384,8.15028,1.12901,14.26128,,18.2400010635381
QK1,2023,6.34052,2.70338,1.55802,13.54616,8.37082,1.20926,14.65454,,18.2400010635381
QK1,2024,6.36898,2.68171,1.55098,,8.68199,1.28159,15.05115,11.99343,18.2400010635381
QKK,2022,4.99879,1.79245,1.26934,10.34988,6.39207,0.5706,11.313,,22.2162059152924
QKK,2023,5.01419,1.77794,1.23955,10.96981,6.56604,0.58906,11.63363,,22.2162059152924
QKK,2024,4.99966,1.77092,1.24121,,6.81061,0.62739,11.80285,11.97031,22.2162059152924
QKS,2022,6.08008,2.83147,2.00643,14.87079,7.27839,0.84494,14.90163,,20.2103162243051
QKS,2023,6.14494,2.79731,1.97654,15.71131,7.5752,0.89918,15.45316,,20.2103162243051
QKS,2024,6.15514,2.76043,1.98342,,7.84128,0.9556,15.73832,12.59921,20.2103162243051
QM7,2022,6.16768,2.65295,1.48597,11.446,6.38703,0.75496,13.21244,,13.3118065727323
QM7,2023,6.16772,2.63982,1.46207,11.86832,6.56732,0.78928,13.63508,,13.3118065727323
QM7,2024,6.14752,2.6321,1.45708,,6.7475,0.85637,13.91474,11.05083,13.3118065727323
QMF,2022,4.81197,1.78958,1.04047,8.8763,7.74466,0.53846,10.27123,,25.8365086915446
QMF,2023,4.80431,1.76822,0.99139,9.226,7.90215,0.54563,10.51651,,25.8365086915446
QMF,2024,4.82795,1.77226,0.97118,,8.11795,0.57593,10.67328,13.2432,25.8365086915446
