ccg,icb_name,year,month,emergency_admissions,elective_total,outpatient_first_total,outpatient_dna,gp_referrals,gp_appt_available,111_offered,111_answered,population,pop_65plus,pct_65plus,fx_asthma__qof_prevalence,fx_chd__qof_prevalence,fx_copd__qof_prevalence,fx_depression__qof_prevalence,fx_diabetes__qof_prevalence,fx_heart_failure__qof_prevalence,fx_hypertension__qof_prevalence,fx_deprivation_score__imd_2019,emergency_admissions_rate,gp_appt_available_rate,111_offered_rate,111_answered_rate,elective_total_rate,outpatient_first_total_rate,outpatient_dna_rate,gp_referrals_rate,month_num
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Apr,5560.0,5320.0,13785.0,1080.0,5800.0,,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,171.27349234660088,,,,163.88039195753896,424.64120359674337,33.26895175077859,178.6665927356628,4
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,May,5945.0,5990.0,15150.0,1190.0,6690.0,,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,183.13325755405435,,,,184.51946387700346,466.68946205953296,36.6574560957653,206.0826733451007,5
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Jun,5605.0,5595.0,14435.0,1155.0,6350.0,167637.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,172.65969866954998,5163.98820800488,,,172.35165282000574,444.66418381711935,35.57929562236043,195.60911446059632,6
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Jul,5945.0,5795.0,14555.0,1195.0,6195.0,166968.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,183.13325755405435,5143.379940670369,,,178.51256981089065,448.3607340116503,36.81147902053742,190.8344037926605,7
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Aug,5785.0,6255.0,13950.0,1225.0,6230.0,168123.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,178.2045239613464,5178.95923629273,,,192.682678889926,429.7239601142234,37.735616569170155,191.91256426606537,8
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Sep,5805.0,6045.0,14715.0,1225.0,6590.0,186523.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,178.8206156604349,5745.763599454143,,,186.2137160494968,453.28946760435826,37.735616569170155,203.00221484965823,9
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Oct,6200.0,5950.0,14370.0,1220.0,6280.0,212304.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,190.98842671743265,6539.936604164164,,,183.2872804788265,442.6618857950818,37.58159364439803,193.45279351378662,10
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Nov,6195.0,6605.0,16170.0,1350.0,7420.0,200528.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,190.8344037926605,6177.18181174086,,,203.4642836239746,498.11013871304607,41.58618968847323,228.57002036183067,11
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Nov,6195.0,6605.0,16170.0,1350.0,7420.0,200528.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,190.8344037926605,6177.18181174086,,,203.4642836239746,498.11013871304607,41.58618968847323,228.57002036183067,11
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2022.0,Dec,6310.0,5365.0,12830.0,1235.0,5750.0,174637.0,,,32.4627,84198.0,25.93684443992644,7.23469,4.00697,2.82338,14.45318,8.01796,1.28349,16.0592,,194.37693106241935,5379.620302685852,,,165.26659828048807,395.2228249652679,38.043662418714405,177.12636348794155,12
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2023.0,Jan,6130.0,6145.0,14740.0,1275.0,6545.0,188436.0,,,32.7865,86056.0,26.247388406813783,7.31973,3.95777,2.78661,15.16172,8.278,1.34249,16.67214,,186.96719686456316,5747.365531544996,,,187.42470224025135,449.57528250956955,38.887956933493975,199.62484559193572,1
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2023.0,Feb,5405.0,5590.0,13830.0,955.0,6100.0,171984.0,,,32.7865,86056.0,26.247388406813783,7.31973,3.95777,2.78661,15.16172,8.278,1.34249,16.67214,,164.85443703963523,5245.573635490217,,,170.49700333978927,421.81995638448757,29.127842252146465,186.05218611318685,2
