,ccg,month,year,ae_attendances_attendances,population,gp_appt_available,amb_sys_made,amb_sys_answered,111_111_offered,111_111_answered,People,Lives,Places
0,00Q,Jan,2018,1179.8552456660982,14.8942,4568.019766083442,310.5618013109489,234.71618677292483,478.5722516850186,363.58153185291974,97.2,94.4,99.7
1,00Q,Feb,2018,1075.4521894428703,14.8942,3910.91834405339,261.75643484568997,205.2987969287578,411.81879031724196,302.30054994495646,97.2,94.4,99.7
2,00Q,Mar,2018,1210.8740315021955,14.8942,4051.7785446683943,303.67621537362794,234.71618677292483,486.32983457518407,353.8673904462081,97.2,94.4,99.7
3,00Q,Apr,2018,1186.1664271998495,14.8942,3974.433000765399,264.97318059068954,203.67792374895882,411.43630519370663,327.3288072593715,97.2,94.4,99.7
4,00Q,May,2018,1299.2977132037977,14.8942,4232.385760900216,294.36140305115833,227.92643652489792,424.9605868694818,334.7186159922914,97.2,94.4,99.7
5,00Q,Jun,2018,1166.292919391441,14.8942,4126.7070403244215,281.1069105448842,220.21374692127847,386.6556824785036,299.35345303156237,97.2,94.4,99.7
6,00Q,Jul,2018,1099.0184098508144,14.8942,4414.738623088182,297.86982263313973,235.57245782292148,399.85387106818774,292.9590863509203,97.2,94.4,99.7
7,00Q,Aug,2018,993.675390420432,14.8942,4025.7281357844,274.16507322471676,213.85109050597492,353.2446262066057,281.7615891766517,97.2,94.4,99.7
8,00Q,Sep,2018,1005.2235098226156,14.8942,4297.578923339286,269.15661676682885,209.47181618214782,355.8288526181842,287.2904606739093,97.2,94.4,99.7
9,00Q,Oct,2018,1063.7026493534397,14.8942,5339.796699386338,299.02401767376784,230.861925355665,384.7040276173874,301.20213112864985,97.2,94.4,99.7
10,00Q,Nov,2018,1031.0053577902809,14.8942,4961.192947590337,283.9882313773547,216.54907349805683,395.6833121250236,312.7870170818837,97.2,94.4,99.7
11,00Q,Dec,2018,1028.1183279397349,14.8942,3836.9298116045175,285.202844569929,228.23686082282856,468.01222971664225,380.8350434831645,97.2,94.4,99.7
12,00R,Jan,2018,1186.8920713542227,13.9305,4650.01256236316,310.56180131094885,234.71618677292483,478.5722516850186,363.58153185291974,85.8,88.0,97.6
13,00R,Feb,2018,1116.6864075230608,13.9305,4060.58648289724,261.75643484568997,205.29879692875784,411.81879031724196,302.3005499449564,85.8,88.0,97.6
14,00R,Mar,2018,1298.7329959441513,13.9305,4364.452101503895,303.67621537362794,234.71618677292483,486.329834575184,353.8673904462081,85.8,88.0,97.6
15,00R,Apr,2018,1272.9622052331215,13.9305,4149.815153799217,264.97318059068954,203.67792374895882,411.43630519370663,327.32880725937144,85.8,88.0,97.6
16,00R,May,2018,1393.4173217041744,13.9305,4304.79882272711,294.36140305115833,227.9264365248979,424.9605868694818,334.7186159922914,85.8,88.0,97.6
17,00R,Jun,2018,1304.9782850579663,13.9305,4458.203223143462,281.1069105448842,220.21374692127847,386.65568247850354,299.35345303156237,85.8,88.0,97.6
